Updated on:,F2,F3,2022-11-28,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,Contact:,Food & Trade Statistics Branch - Tel 020 8026 3006  Email: familyfood@defra.gov.uk,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
1201,,,Instant dried milk,,eq ml,52.820242104984,57.1974552575078,59.8886978184754,69.3414502021205,76.1418459103226,77.3425791694353,73.9284234714343,81.0147540700177,83.590225791561,81.8062335346347,75.6596481112306,66.388770005897,72.0904212076986,67.9148335205405,60.5344661903315,50.1956547598354,40.7612879663952,38.7373302632772,42.884646920483,27.0004636439394,27.5651457319372,23.2707635542635,18.7567391437601,14.3400771897264,22.074789941365,13.6125400753153,11.2081569677799,18.397610507598067,13.906933335184748,9.5240522369394967,8.0069052538941605,9.4666352500115138,8.7921221144558839,10.317961558761924,7.49370189685498,10.448873648260665,6.7634911040916155,5.063869714198697,5.17070385705466,4.98441757674576,4.37546512624157,4.92089703386915,5.59312089910048,3.55102541987624,5.82729744661057,4.01788902554772,4.31236057620963,14.2285612042522,û,144.1708413653779,229.94831839313522,,,,û
13,,,Yoghurt and fromage frais,,ml,33.1006931461538,29.4333067739008,34.6348548061595,36.5229980623768,45.4269777322568,51.1786117626277,63.1579805287427,63.4546794862185,62.0673003585936,68.6953753220944,81.0247210772284,84.3471969443866,89.9947953495446,93.2898284824047,101.8534962061,105.323581714132,111.712287074866,125.579549726901,139.350639390394,138.602753652908,138.491231296516,145.012428975771,145.843480051178,146.125197346892,143.235688489658,148.929587080605,160.603380607776,153.97780413304849,163.25179170203285,176.73886507798977,187.44999916884186,201.07429375582342,203.9908489688562,196.34008702921693,202.053830080375,203.1848471870689,202.85508732234459,199.83013284000904,194.558618126031,191.4840753954,190.563382087912,193.707541848709,192.879857029918,199.615676625624,188.19060201585,198.863353637246,192.795265643004,193.293638629203,üü,2.7116320149309536,0.25849856039612917,,,,üüü
1301,,,,Yoghurt,ml,33.1006931461538,29.4333067739008,34.6348548061595,36.5229980623768,45.4269777322568,51.1786117626277,63.1579805287427,63.4546794862185,62.0673003585936,68.6953753220944,81.0247210772284,84.3471969443866,89.9947953495446,93.2898284824047,101.8534962061,105.323581714132,111.712287074866,125.579549726901,125.561048163656,122.764724904142,122.776967770907,127.589956478942,129.236902819673,126.893240631727,124.710720252077,132.907488757353,142.207473783941,137.13982143654312,143.90903669207447,157.76877508924275,168.17060049372245,180.33211964928995,182.32430970045701,174.65626303182552,180.305983833512,182.36151643953227,183.8696601633651,180.87127902004084,174.703329452173,174.250985763154,174.884146348709,178.503460734301,178.082989739796,186.722063489427,177.67494926287,187.559888592172,182.938029231541,185.541986436383,üü,4.4277694779997461,1.4234094549832483,,,,üüü
1302,,,,Fromage frais,ml,,,,,,,,,,,,,,,,,,,13.7895912267375,15.8380287487655,15.7142635256095,17.4224724968282,16.6065772315051,19.2319567151657,18.5249682375812,16.022098323252,18.3959068238352,16.837982696505136,19.34275500995804,18.970089988746963,19.279398675119054,20.742174106533753,21.666539268399909,21.683823997391247,21.7478462468633,20.823330747536644,18.985427158979359,18.958853819968216,19.855288673858,17.2330896322468,15.6792357392034,15.2040811144074,14.7968672901222,12.8936131361963,10.5156527529798,11.3034650450743,9.85723641146263,7.75165219281987,ü,-26.28463134993369,-21.360796583860481,yes,m,,ü
16,,,Other milks and dairy desserts,,ml,1.32145409454442,1.39231858596414,1.18066273462325,1.47543829920514,2.35358369390022,2.72404049627813,3.94701862877397,7.16786913565202,9.40161709208757,7.85403119956243,7.92816415847582,7.49675390273502,15.5876561366777,16.9750707640336,21.5904262745786,22.0438036297796,22.8350368781641,30.7142824864231,36.7956027077737,42.9121981688541,43.9935735106425,43.4184103507031,43.6628318179897,47.1590705745037,51.0946807406537,60.1455021449192,66.4912688322885,77.522598709952803,93.96142995532071,97.2796222191336,88.511131326553667,94.825507088332088,95.033137196468445,92.380955022991387,97.558861038547,104.47146667865402,91.002719401630273,92.293010804898273,99.5443289793925,98.1156754166993,106.615838239693,103.711542660243,104.822947671098,121.855053235215,142.965750748592,141.901205291331,135.460217463938,190.677376380916,ü,33.372766122303901,40.762638618735032,yes,k,,üü
1603,,,,Dairy desserts - not frozen,ml,0.991090570908312,1.0442389394731,0.885497050967438,1.10657872440385,1.76518777042516,2.0430303722086,2.96026397158048,5.37590185173902,7.05121281906568,6.04760402366307,6.10468640202638,5.77250050510597,12.0024952252418,13.0708044883059,16.6246282314255,16.9737287949303,17.5829783961863,23.6499975145458,18.2169065063438,17.8468698787717,20.8459129021726,22.9470871221387,26.0789667278061,26.2145514135602,31.3524326427233,34.0547688147114,34.7380370619551,41.025128956531589,45.141889050245602,46.082043726466289,43.145978496483274,42.395748784866619,40.684525125988586,40.083431604249334,40.2299933487821,44.494971420729918,40.771239283706763,41.423661771515711,40.976395207381,37.3244987820071,38.3797201752629,37.1456620576388,36.7268734709401,38.8625863657897,39.0697813775563,32.8657283042002,35.2609635904187,34.2386576655269,ü,-12.365371757121395,-2.8992569141520121,,,,üü
1605,,,,Dried milk products,ml,,,,,,,,,,,,,,,,,,,1.857869620143,2.50653282900825,2.31476606084699,2.04713232285644,1.75838650901836,2.09445191609435,1.97422480979304,2.60907333302077,3.17532317703334,4.5203218117611952,10.449541746343224,10.419784847193688,1.3122068914510339,3.2498378606883991,2.6055818418148906,3.729748243186306,2.14204074491667,1.9960617388939481,0.69181540634179806,2.6934109557161467,3.96479483820951,1.43055965710612,1.72797614771503,0.893399016746058,0.442324115117577,2.31628152589937,12.8123069917476,3.80253334720056,1.02914520527825,3.06285874768699,û,-76.094400878313508,197.61191442940162,,,,û
1607,,,,Milk drinks and other milks (e),ml,0.330363523636104,0.348079646491035,0.295165683655813,0.368859574801284,0.588395923475054,0.681010124069533,0.986754657193493,1.79196728391301,2.35040427302189,1.80642717589936,1.82347775644944,1.72425339762905,3.58516091143587,3.90426627572773,4.96579804315308,5.0700748348493,5.25205848197774,7.06428497187731,16.720826581287,22.5587954610742,20.8328945476229,18.4241909057079,15.8254785811653,18.8500672448492,17.7680232881374,23.481659997187,28.5779085933,31.977147941660132,38.36999915873222,40.777793645473807,20.869068118278367,23.903905904622039,23.84216872844172,24.387567042160033,28.2266079528834,29.662934259009933,26.312228771802552,25.395514941977776,27.7752099243058,27.5262379163906,29.0286379194574,28.2893482937023,27.3455570434092,30.6403304571291,25.4457896018418,36.315551908218,30.8188256886636,41.1552449604514,ü,61.736953753136639,33.539302815129616,yes,k,1606,ü
1608,,,,Non-dairy milk substitutes (e),ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.183877820340939,25.27601453815495,27.900861500223279,24.180208133395809,26.9602189919648,28.317499260020337,23.22743593977907,22.780423135688505,26.827929009496,31.8343790611954,37.4795039972582,37.3831332921555,40.3081930416315,50.0358548863965,65.6378727774466,68.9173917317124,68.3512829795775,112.220615007251,ü,70.969305156717937,64.182163253294121,,k,,ü
17,,,Cream,,ml,15.3008663714164,16.1182342993164,14.9817578684184,15.6629975852818,17.7280616656474,17.3768363553792,18.1607645122347,18.2175684148615,16.6687555519254,18.500412458614,17.7793976012293,17.9109723885523,18.6685638480155,19.7770356972185,19.0812810111357,21.398906857927,18.1806099933082,22.1223721113984,23.1723758221097,23.337749923564,20.8096815874469,17.8863135954317,22.7661068397705,20.2363282384619,21.1402773740311,20.3966546803632,22.248669585504,19.762208556564815,19.725143669445796,19.682473261719057,18.879827161973274,20.954278530920195,21.756030930842918,21.462116634283309,20.5364691348138,22.895458988809853,23.532932508075938,23.219338972158589,24.7939814418488,23.9234718297467,23.2321276100628,23.6961944677427,23.6184937718768,26.3120154986147,26.2444170876492,26.1250435066437,24.189632734483,27.9224714002172,üü,6.3939477373941989,15.431564036988837,,,,üü
22023,,Cheese,,,g,104.888931323338,107.26189517676,107.256309212522,107.609899921425,105.216545922003,108.685202542576,109.842074472244,110.052718199118,107.57345767539,113.376927781691,108.70286581972,110.590608919395,117.586017918374,115.753930504251,116.860144093031,115.062880562984,113.172276098353,116.297084172078,113.437668019255,108.880979495158,106.037561005077,107.86236879205,110.171536281318,107.640159142996,103.19375610566,103.254879932002,109.078209001164,112.16348560474239,111.67066918386497,112.84874369247548,109.99842606458454,115.65243386653717,115.62915114540621,118.57848794164344,110.856342138483,116.24467192026447,118.17332525240535,118.39057607246525,114.091231169948,118.157300411297,110.706492623581,112.246873659657,115.195833031321,123.818487517513,124.71701528866,123.483111524471,129.315769409172,149.567046695048,üü,19.92513318962316,15.660330815337931,yes,k,,üüü
22,,,Natural cheese,,g,97.0102517322604,99.2314165609227,99.0759378282037,100.67987492391,98.5644993435279,102.075572978368,103.376652423388,103.342288393218,100.354149771618,106.55453703226,101.742455263054,103.112403066546,110.012232824332,107.505740058365,108.561814446381,106.06145631463,104.516107438419,106.890999022955,103.394286538427,99.8383373773203,96.2439009716934,98.0001056620576,98.137717494216,96.5673199649778,93.0918695403285,93.2584336583662,97.4017286326865,99.673216626208486,99.216647943226448,99.192060125041721,96.383848104924951,103.60968580421569,102.96823468659753,106.3586615958076,98.9923054790087,105.30705443721432,106.9438718763043,107.77630963920214,103.702793953313,107.256568700906,100.303382802386,101.882821204054,104.405208072674,113.797525956117,114.693739593191,113.855508906368,118.940929131064,138.707554345438,üü,20.937336978828622,16.618858923317422,yes,k,,üüü
2201,,,,Hard cheese - cheddar type,g,67.1048305247701,67.3199271322582,69.8187275665631,72.4889025310253,69.6473692872918,71.7127163308901,70.4372198084068,74.1073172726328,71.1509415755822,72.4492442152799,71.3971335027601,69.2883275406714,73.5694926855692,73.6833249335867,73.0283888985614,71.0658933634762,71.5532568454507,72.4610345686658,67.6375517217068,65.8637208121398,63.9693970345871,65.6150336805216,61.0913973245312,63.9444340215922,61.8257557039249,61.5795989354785,66.6722456384089,63.235324540082956,62.235110723617765,63.785277447273103,58.847068180268586,65.4955632498245,65.182960386095559,66.797085610173042,62.0699397411172,67.534138440283741,66.444799540053452,66.967340105003345,63.7352797272319,66.9426179625259,60.6043567474423,61.9655588067364,62.7021931115002,65.8234838724874,65.6159640862945,64.395464671847,66.9898701702961,77.0115835533413,üü,17.367144757729832,14.960042999887584,yes,k,,üüü
2202,,,,Hard cheese - other uk or foreign equivalent,g,20.4857422956863,21.9443512041754,19.7822388727493,16.5595209821111,17.2375083409107,17.4881011319283,18.3764388140041,15.0787304765785,15.6171080877403,17.819435766883,14.809018484209,18.0113655546853,17.296747989995,15.3500603703581,15.1676775672027,14.7980555024658,14.7138972101698,14.1571872450684,15.6883489128224,14.2354975572846,13.7446152980407,13.3363229475411,14.6435235644418,12.7259344228426,11.8473469209051,10.0846426367172,10.4870677668347,13.160459561148587,13.58258902203943,11.037885987946247,12.308325984663625,11.367120883995039,10.394553712692808,10.568970315251363,10.5660642392544,9.5986815786485273,9.1266907261446519,9.2134026453940727,7.28200665538192,7.26331594772578,7.47911174266639,7.2313608072443,7.83758270088359,8.30679681339262,7.57502279367577,7.27792264341805,8.54231667374247,8.67701976410511,ü,14.547771015941745,1.5768917906858626,,,,üü
2203,,,,Hard cheese - edam or other foreign,g,5.41860688458391,5.93808596322075,5.02788627272654,5.50413413804216,5.06088773851231,5.95316671458242,6.0932489777736,5.62030911655083,5.60300196469454,6.07148016180247,5.79471238116498,5.85736085639255,6.96312982281367,6.58167113002922,6.9287521209912,7.37667249966907,6.576590860163,7.2172294993212,7.31022434455317,7.21603518759632,6.56708185015884,6.35848707987088,9.29123413898048,6.18703757352075,6.47106269785415,7.28966136520411,6.09403390360133,7.2833653489106833,7.8088359257487188,6.8406657442996064,8.3364007847206238,7.1959801483534891,6.9903768378882081,7.5799754383392273,6.72284469710485,7.8418931835580743,7.9195031778945912,7.3328168853549558,8.20497706584595,8.25279596453784,7.2122374239625,7.43702381832789,8.12818900939478,9.66649247888366,10.2140465726149,9.61497653129422,11.3668915705867,11.6990594704859,ü,14.538928203563477,2.9222404193485678,,,,üü
