Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,FileName
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,Action
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,Action
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,Action
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,Action
"Assassin's Creed II",PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,Action
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,Action
"Assassin's Creed III",X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,Action
"Assassin's Creed II",X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,Action
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,Action
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,Action
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,Action
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,Action
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,Action
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,Action
Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,Action
"Uncharted: Drake's Fortune",PS3,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,Action
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.89,1.54,0,0.46,Action
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,Action
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,Action
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,Action
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,Action
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,Action
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,Action
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,Action
"Luigi's Mansion: Dark Moon",3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,Action
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,Action
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,Action
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,Action
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,Action
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,Action
"Assassin's Creed: Revelations",PS3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,Action
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,Action
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.03,1.27,0.62,0.3,Action
"Assassin's Creed: Revelations",X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,Action
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,Action
Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0,0.11,Action
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,Action
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,Action
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,Action
"Assassin's Creed: Unity",PS4,2014,Action,Ubisoft,1.18,1.96,0.08,0.7,Action
"Assassin's Creed IV: Black Flag",PS3,2013,Action,Ubisoft,1.33,1.71,0.13,0.73,Action
"The Legend of Zelda: Link's Awakening",GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,Action
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,Action
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,1.03,0,0.36,Action
"Resident Evil Director's Cut",PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,Action
"Harry Potter and the Sorcerer's Stone",PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,Action
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,Action
Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,Action
"Luigi's Mansion",GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,Action
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,Action
The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,Action
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1.66,1.58,0.12,0.18,Action
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,Action
Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,0.23,Action
Resident Evil 5,X360,2009,Action,Capcom,2.11,0.94,0.12,0.34,Action
"Assassin's Creed: Brotherhood",X360,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,Action
Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,Action
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,Action
"Assassin's Creed: Unity",XOne,2014,Action,Ubisoft,2.26,0.89,0,0.3,Action
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,Action
Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,Action
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,Action
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,Action
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.43,0.94,0.74,0.27,Action
"The Legend of Zelda: Majora's Mask",N64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,Action
"Assassin's Creed IV: Black Flag",X360,2013,Action,Ubisoft,1.9,1.14,0.01,0.29,Action
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,Action
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,Action
"Assassin's Creed Syndicate",PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,Action
True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,Action
Monster Hunter X,3DS,2015,Action,Capcom,0.25,0.19,2.78,0.04,Action
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,Action
Enter the Matrix,PS2,2003,Action,Atari,1.78,1.12,0.09,0.19,Action
LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,Action
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,Action
Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,Action
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,0.99,0.46,0.22,Action
Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,0.29,Action
Saints Row 2,X360,2008,Action,THQ,1.94,0.8,0.02,0.27,Action
"Tom Clancy's Splinter Cell",XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,Action
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,Action
Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,Action
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,Action
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,Action
"Skylanders: Spyro's Adventure",Wii,2011,Action,Activision,1.4,1.14,0,0.31,Action
"Assassin's Creed: Brotherhood",PS3,2010,Action,Ubisoft,1.87,0.57,0.11,0.3,Action
Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,Action
Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.8,0,0.26,Action
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,Action
Saints Row: The Third,X360,2011,Action,THQ,1.25,1.15,0.07,0.3,Action
"Assassin's Creed IV: Black Flag",PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.31,Action
Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,Action
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,Action
Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,Action
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,Action
Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,Action
"Tom Clancy's Splinter Cell",PS2,2003,Action,Ubisoft,1.15,1.11,0,0.4,Action
Skylanders Giants,Wii,2012,Action,Activision,1.56,0.88,0,0.22,Action
Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,Action
LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.87,0,0.24,Action
God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.7,0.46,0.06,0.41,Action
Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,0.9,1.22,0.04,0.44,Action
Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,Action
Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,1.04,1.24,0.03,0.27,Action
Perfect Dark,N64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,Action
Tomb Raider (2013),PS3,2013,Action,Square Enix,0.6,1.31,0.08,0.52,Action
Saints Row: The Third,PS3,2011,Action,THQ,0.86,1.06,0.18,0.39,Action
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,1.84,0.56,0,0.09,Action
LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0,0.23,Action
Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,1.15,1.14,0.06,0.13,Action
Dino Crisis,PS,1998,Action,Capcom,0.81,0.76,0.7,0.14,Action
LEGO Indiana Jones: The Original Adventures,Wii,N/A,Action,LucasArts,1.54,0.63,0,0.22,Action
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment,1.07,0.87,0.04,0.4,Action
Dead Island,X360,2011,Action,Deep Silver,1.48,0.71,0,0.2,Action
LEGO Star Wars: The Complete Saga,PS3,2007,Action,LucasArts,1.02,0.97,0,0.39,Action
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1,0.76,0.26,0.36,Action
The Incredibles,PS2,2004,Action,THQ,0.96,1.08,0.04,0.3,Action
LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0,0.23,Action
Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.08,0.7,0.34,0.21,Action
"The Legend of Zelda: Majora's Mask 3D",3DS,2015,Action,Nintendo,1.14,0.54,0.47,0.17,Action
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,Action
LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,1.24,0.85,0,0.21,Action
Guild Wars 2,PC,2012,Action,NCSoft,0.95,1.06,0,0.29,Action
Dead Island,PS3,2011,Action,Deep Silver,1.08,0.75,0.15,0.31,Action
Tomb Raider II,PC,1997,Action,Eidos Interactive,0.91,1.25,0,0.13,Action
God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.68,0.04,0.34,Action
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.28,0,Action
Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,1.01,0.9,0,0.37,Action
Resident Evil 4,Wii,2007,Action,Capcom,1.34,0.57,0.14,0.21,Action
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,Action
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,1.42,0.61,0,0.21,Action
Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0,0.31,Action
"Assassin's Creed IV: Black Flag",XOne,2013,Action,Ubisoft,1.47,0.55,0,0.19,Action
"Devil May Cry 3: Dante's Awakening Special Edition",PS2,2006,Action,Capcom,1.06,0.82,0.05,0.28,Action
Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,Action
Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,Action
Saints Row,X360,2006,Action,THQ,1.17,0.78,0.02,0.22,Action
Hitman: Absolution,PS3,2012,Action,Square Enix,0.59,1.07,0.07,0.45,Action
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,Action
Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,0.93,0.97,0.02,0.21,Action
Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,Action
Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,Action
"Devil May Cry 3: Dante's Awakening",PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,Action
Dead Rising,X360,2006,Action,Capcom,1.16,0.65,0.08,0.2,Action
Finding Nemo,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,Action
NBA 2K11,X360,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,Action
Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,Action
Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,Action
"Tom Clancy's Splinter Cell: Conviction",X360,2010,Action,Ubisoft,1.2,0.63,0.04,0.19,Action
The Incredibles,GBA,2004,Action,THQ,1.15,0.77,0.04,0.1,Action
"Peter Jackson's King Kong: The Official Game of the Movie",PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,Action
Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,Action
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0,0.3,Action
LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,Action
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,Action
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,Action
Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,Action
Devil May Cry 2,PS2,2003,Action,Capcom,0.71,0.58,0.51,0.17,Action
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,Action
Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0,0.09,Action
Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0,0.17,Action
Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,Action
Tomb Raider (2013),X360,2013,Action,Square Enix,0.86,0.87,0.01,0.17,Action
The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,Action
Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.14,0.57,0,0.19,Action
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0,0.17,Action
Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,Action
Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.34,0.37,0,0.15,Action
GoldenEye 007 (2010),Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,Action
Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,Action
inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,Action
Just Cause 3,PS4,2015,Action,Square Enix,0.46,1.02,0.07,0.28,Action
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,Action
NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,Action
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,Action
SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ,1.12,0.58,0,0.08,Action
The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,Action
Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.94,0.06,0.33,Action
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,Action
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,Action
State of Emergency,PS2,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,Action
Hitman: Absolution,X360,2012,Action,Square Enix,0.68,0.9,0.01,0.17,Action
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03,Action
Twisted Metal III,PS,1998,Action,989 Studios,1.48,0.2,0,0.05,Action
"Harry Potter and the Sorcerer's Stone",GB,2001,Action,Electronic Arts,0.94,0.62,0.1,0.07,Action
Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0,0.14,Action
Dishonored,X360,2012,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,Action
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,2003,Action,Take-Two Interactive,0.85,0.66,0,0.22,Action
Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,0.69,0.83,0,0.19,Action
Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,Action
Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.53,0.01,0.14,Action
"Harry Potter and the Sorcerer's Stone",GBA,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,Action
Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,Action
Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.8,0.52,0.07,0.3,Action
LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,Action
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.23,0.3,0,0.14,Action
Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,Action
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,Action
Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.73,0.06,0.3,Action
LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0,0.16,Action
"Ghosts 'n Goblins",NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,Action
Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0,0.22,Action
Just Cause 2,X360,2010,Action,Square Enix,0.59,0.85,0.02,0.17,Action
"SpongeBob's Atlantis SquarePantis",DS,2007,Action,THQ,1.5,0,0,0.11,Action
Dollar Dash,PS2,2005,Action,Take-Two Interactive,1.3,0.23,0,0.07,Action
Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,Action
Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,Action
"No Man's Sky",PS4,2016,Action,Hello Games,0.58,0.74,0.02,0.26,Action
The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,Action
Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.46,0.34,0.21,Action
LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0,0.14,Action
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09,Action
Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.06,0.37,0,0.15,Action
Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,Action
Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,Action
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,Action
Mafia II,X360,2010,Action,Take-Two Interactive,0.84,0.56,0,0.15,Action
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,Action
007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,Action
Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,Action
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.13,Action
Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.8,0.53,0,0.22,Action
Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,Action
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14,Action
The Simpsons Game,DS,2007,Action,Electronic Arts,0.57,0.79,0,0.17,Action
Mafia II,PS3,2010,Action,Take-Two Interactive,0.5,0.72,0.04,0.26,Action
Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1.26,0.05,0,0.21,Action
LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.84,0.54,0,0.13,Action
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,Action
The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0,1.13,Action
Dead Rising 2,X360,2010,Action,Capcom,0.75,0.53,0.09,0.12,Action
Pac-Man World,PS,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,Action
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14,Action
"Tom Clancy's Splinter Cell: Pandora Tomorrow",XB,2004,Action,Ubisoft,0.82,0.59,0,0.07,Action
"Assassin's Creed III: Liberation",PSV,2012,Action,Ubisoft,0.58,0.55,0.06,0.28,Action
Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,Action
Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,Action
Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.95,0.4,0,0.12,Action
LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,Action
Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.47,0.65,0.06,0.28,Action
Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07,Action
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,Action
Resident Evil: Outbreak,PS2,2003,Action,Capcom,0.54,0.35,0.46,0.1,Action
"Frogger 2: Swampy's Revenge",PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,Action
Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.96,0.37,0,0.11,Action
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.91,0.39,0,0.13,Action
The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,Action
Super Metroid,SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02,Action
Dead Space,X360,2008,Action,Electronic Arts,0.89,0.4,0,0.13,Action
Resident Evil (Remake),GC,2002,Action,Capcom,0.63,0.38,0.35,0.05,Action
Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.64,0.06,0.25,Action
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.51,0,0.32,Action
Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.64,0.63,0,0.14,Action
LEGO Star Wars: The Video Game,GC,2005,Action,Eidos Interactive,1.09,0.28,0,0.04,Action
Metroid: Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1,Action
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,Action
Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.7,0.01,0.27,Action
Bakugan: Battle Brawlers,DS,2009,Action,Activision,1.27,0.02,0,0.09,Action
